,GAMEID,TEAM_HOME,TEAM_AWAY,TEAM_ELO_BEFORE_HOME,TEAM_ELO_BEFORE_AWAY,TEAM_ELO_AFTER_HOME,TEAM_ELO_AFTER_AWAY,ODDS_HOME,PROBS_HOME,PROBS_AWAY
0,201310290IND,IND,ORL,1500,1500,1507.6920526826784,1492.3079473173216,1.6982436524617444,0.6293885472175023,0.37061145278249774
1,201310290MIA,MIA,CHI,1500,1500,1508.6250292277625,1491.3749707722375,1.6982436524617444,0.6293885472175023,0.37061145278249774
2,201310290LAL,LAL,LAC,1500,1500,1509.0820430112922,1490.9179569887078,1.6982436524617444,0.6293885472175023,0.37061145278249774
3,201310300CLE,CLE,BRK,1500,1500,1504.687766814017,1495.312233185983,1.6982436524617444,0.6293885472175023,0.37061145278249774
4,201310300TOR,TOR,BOS,1500,1500,1505.7316752493216,1494.2683247506784,1.6982436524617444,0.6293885472175023,0.37061145278249774
5,201310300PHI,PHI,MIA,1500,1508.6250292277625,1504.8687657549729,1503.7562634727897,1.6159853784553513,0.6177348664729673,0.3822651335270327
6,201310300DET,DET,WAS,1500,1500,1508.1618760810868,1491.8381239189132,1.6982436524617444,0.6293885472175023,0.37061145278249774
7,201310300NYK,NYK,MIL,1500,1500,1506.235733815509,1493.764266184491,1.6982436524617444,0.6293885472175023,0.37061145278249774
8,201310300NOP,NOP,IND,1500,1507.6920526826784,1491.3409815395191,1516.3510711431593,1.6246876091604532,0.6190022780197201,0.3809977219802799
9,201310300MIN,MIN,ORL,1500,1492.3079473173216,1505.0407261784794,1487.2672211388422,1.7751298691918447,0.6396565036103288,0.3603434963896711
10,201310300HOU,HOU,CHA,1500,1500,1509.0820430112922,1490.9179569887078,1.6982436524617444,0.6293885472175023,0.37061145278249774
11,201310300SAS,SAS,MEM,1500,1500,1506.235733815509,1493.764266184491,1.6982436524617444,0.6293885472175023,0.37061145278249774
12,201310300DAL,DAL,ATL,1500,1500,1507.2149373622435,1492.7850626377565,1.6982436524617444,0.6293885472175023,0.37061145278249774
13,201310300UTA,UTA,OKC,1500,1500,1492.9626594393626,1507.0373405606374,1.6982436524617444,0.6293885472175023,0.37061145278249774
14,201310300PHO,PHO,POR,1500,1500,1509.0820430112922,1490.9179569887078,1.6982436524617444,0.6293885472175023,0.37061145278249774
15,201310300SAC,SAC,DEN,1500,1500,1503.5814885880372,1496.4185114119628,1.6982436524617444,0.6293885472175023,0.37061145278249774
16,201310300GSW,GSW,LAL,1500,1509.0820430112922,1517.2738413246252,1491.808201686667,1.6117396591269013,0.6171134452450373,0.38288655475496275
17,201310310CHI,CHI,NYK,1491.3749707722375,1506.235733815509,1494.571946430918,1503.0387581568286,1.5590070976413242,0.6092234363391508,0.39077656366084923
18,201310310LAC,LAC,GSW,1490.9179569887078,1517.2738413246252,1500.0661408937444,1508.1256574195886,1.4591847734577563,0.5933611777394253,0.4066388222605746
19,201311010CHA,CHA,CLE,1490.9179569887078,1504.687766814017,1497.0054474463593,1498.6002763563656,1.568828518526589,0.6107174952364772,0.3892825047635227
20,201311010ORL,ORL,NOP,1487.2672211388422,1491.3409815395191,1499.628675017101,1478.9795276612604,1.6588823980777505,0.6239021324437087,0.3760978675562913
21,201311010WAS,WAS,PHI,1491.8381239189132,1504.8687657549729,1481.6516553769818,1515.0552342969042,1.575518094821927,0.6117286063683662,0.3882713936316338
22,201311010ATL,ATL,TOR,1492.7850626377565,1505.7316752493216,1499.3843520869796,1499.1323858000985,1.576280374758218,0.6118434896303361,0.388156510369664
23,201311010BOS,BOS,MIL,1494.2683247506784,1493.764266184491,1483.6628691594804,1504.369721775689,1.7031784225390052,0.6300651145843591,0.369934885415641
24,201311010BRK,BRK,MIA,1495.312233185983,1503.7562634727897,1498.4214108890744,1500.6470857696982,1.617669973141375,0.6179808722029483,0.38201912779705177
25,201311010HOU,HOU,DAL,1509.0820430112922,1507.2149373622435,1515.7564059401363,1500.5405744333993,1.7165946874282076,0.6318920873151316,0.36810791268486837
26,201311010MEM,MEM,DET,1493.764266184491,1508.1618760810868,1498.1773658803058,1503.7487763852719,1.5631691494201059,0.6098579759255291,0.3901420240744709
27,201311010MIN,MIN,OKC,1505.0407261784794,1507.0373405606374,1516.861744223779,1495.2163225153379,1.6788367369600112,0.6267036410980324,0.37329635890196755
28,201311010DEN,DEN,POR,1496.4185114119628,1490.9179569887078,1479.1971826918611,1508.1392857088094,1.752876771928641,0.6367436384377609,0.36325636156223906
29,201311010PHO,PHO,UTA,1509.0820430112922,1492.9626594393626,1512.9372529605287,1489.107449490126,1.86336725318849,0.6507608310158418,0.34923916898415824
30,201311010SAC,SAC,LAC,1503.5814885880372,1500.0661408937444,1491.2023048831995,1512.4453245985821,1.7329593246262194,0.6340962739587177,0.3659037260412823
31,201311010LAL,LAL,SAS,1491.808201686667,1506.235733815509,1482.484715520467,1515.559219981709,1.5628999226383415,0.6098169923972045,0.3901830076027955
32,201311020IND,IND,CLE,1516.3510711431593,1498.6002763563656,1525.566749513718,1489.384597985807,1.8809488558010312,0.6528921372601195,0.3471078627398804
33,201311020PHI,PHI,CHI,1515.0552342969042,1494.571946430918,1518.8346357554772,1490.792544972345,1.9107691448308652,0.6564481928167112,0.34355180718328887
34,201311020NOP,NOP,CHA,1478.9795276612604,1497.0054474463593,1492.5682370984173,1483.4167380092024,1.5308590308642576,0.6048772421518427,0.39512275784815726
