,GAMEID,TEAM,ELO,DATE,WHERE_PLAYED,SEASON,D_RTG,GAME_NO,OPP_SCORE,O_RTG,SCORE
0,201310290IND,IND,1500,2013-10-29,Home,2014,91.6,1.0,87.0,102.1,97.0
1,201310290IND,ORL,1500,2013-10-29,Away,2014,102.1,1.0,97.0,91.6,87.0
2,201310290MIA,MIA,1500,2013-10-29,Home,2014,97.9,1.0,95.0,110.2,107.0
3,201310290MIA,CHI,1500,2013-10-29,Away,2014,110.2,1.0,107.0,97.9,95.0
4,201310290LAL,LAL,1500,2013-10-29,Home,2014,102.6,1.0,103.0,115.6,116.0
5,201310290LAL,LAC,1500,2013-10-29,Away,2014,115.6,1.0,116.0,102.6,103.0
6,201310300CLE,CLE,1500,2013-10-30,Home,2014,101.8,1.0,94.0,106.2,98.0
7,201310300CLE,BRK,1500,2013-10-30,Away,2014,106.2,1.0,98.0,101.8,94.0
8,201310300TOR,TOR,1500,2013-10-30,Home,2014,95.1,1.0,87.0,101.6,93.0
9,201310300TOR,BOS,1500,2013-10-30,Away,2014,101.6,1.0,93.0,95.1,87.0
10,201310300PHI,PHI,1500,2013-10-30,Home,2014,110.8,1.0,110.0,114.8,114.0
11,201310300PHI,MIA,1508.6250292277625,2013-10-30,Away,2014,114.8,2.0,114.0,110.8,110.0
12,201310300DET,DET,1500,2013-10-30,Home,2014,108.0,1.0,102.0,119.7,113.0
13,201310300DET,WAS,1500,2013-10-30,Away,2014,119.7,1.0,113.0,108.0,102.0
14,201310300NYK,NYK,1500,2013-10-30,Home,2014,88.3,1.0,83.0,95.7,90.0
15,201310300NYK,MIL,1500,2013-10-30,Away,2014,95.7,1.0,90.0,88.3,83.0
16,201310300NOP,NOP,1500,2013-10-30,Home,2014,104.9,1.0,95.0,99.4,90.0
17,201310300NOP,IND,1507.6920526826784,2013-10-30,Away,2014,99.4,2.0,90.0,104.9,95.0
18,201310300MIN,MIN,1500,2013-10-30,Home,2014,104.3,1.0,115.0,108.8,120.0
19,201310300MIN,ORL,1492.3079473173216,2013-10-30,Away,2014,108.8,2.0,120.0,104.3,115.0
20,201310300HOU,HOU,1500,2013-10-30,Home,2014,92.7,1.0,83.0,107.2,96.0
21,201310300HOU,CHA,1500,2013-10-30,Away,2014,107.2,1.0,96.0,92.7,83.0
22,201310300SAS,SAS,1500,2013-10-30,Home,2014,97.6,1.0,94.0,104.8,101.0
23,201310300SAS,MEM,1500,2013-10-30,Away,2014,104.8,1.0,101.0,97.6,94.0
24,201310300DAL,DAL,1500,2013-10-30,Home,2014,108.3,1.0,109.0,117.2,118.0
25,201310300DAL,ATL,1500,2013-10-30,Away,2014,117.2,1.0,118.0,108.3,109.0
26,201310300UTA,UTA,1500,2013-10-30,Home,2014,101.9,1.0,101.0,98.8,98.0
27,201310300UTA,OKC,1500,2013-10-30,Away,2014,98.8,1.0,98.0,101.9,101.0
28,201310300PHO,PHO,1500,2013-10-30,Home,2014,98.5,1.0,91.0,112.6,104.0
29,201310300PHO,POR,1500,2013-10-30,Away,2014,112.6,1.0,104.0,98.5,91.0
30,201310300SAC,SAC,1500,2013-10-30,Home,2014,95.1,1.0,88.0,97.3,90.0
31,201310300SAC,DEN,1500,2013-10-30,Away,2014,97.3,1.0,90.0,95.1,88.0
32,201310300GSW,GSW,1500,2013-10-30,Home,2014,91.7,1.0,94.0,121.9,125.0
33,201310300GSW,LAL,1509.0820430112922,2013-10-30,Away,2014,121.9,2.0,125.0,91.7,94.0
34,201310310CHI,CHI,1491.3749707722375,2013-10-31,Home,2014,91.3,2.0,81.0,92.5,82.0
35,201310310CHI,NYK,1506.235733815509,2013-10-31,Away,2014,92.5,2.0,82.0,91.3,81.0
36,201310310LAC,LAC,1490.9179569887078,2013-10-31,Home,2014,111.0,2.0,115.0,121.6,126.0
37,201310310LAC,GSW,1517.2738413246252,2013-10-31,Away,2014,121.6,2.0,126.0,111.0,115.0
38,201311010CHA,CHA,1490.9179569887078,2013-11-01,Home,2014,87.9,2.0,84.0,94.1,90.0
39,201311010CHA,CLE,1504.687766814017,2013-11-01,Away,2014,94.1,2.0,90.0,87.9,84.0
40,201311010ORL,ORL,1487.2672211388422,2013-11-01,Home,2014,95.5,3.0,90.0,116.7,110.0
41,201311010ORL,NOP,1491.3409815395191,2013-11-01,Away,2014,116.7,2.0,110.0,95.5,90.0
42,201311010WAS,WAS,1491.8381239189132,2013-11-01,Home,2014,104.3,2.0,109.0,97.6,102.0
43,201311010WAS,PHI,1504.8687657549729,2013-11-01,Away,2014,97.6,2.0,102.0,104.3,109.0
44,201311010ATL,ATL,1492.7850626377565,2013-11-01,Home,2014,101.4,2.0,95.0,108.9,102.0
45,201311010ATL,TOR,1505.7316752493216,2013-11-01,Away,2014,108.9,2.0,102.0,101.4,95.0
46,201311010BOS,BOS,1494.2683247506784,2013-11-01,Home,2014,119.3,2.0,105.0,111.3,98.0
47,201311010BOS,MIL,1493.764266184491,2013-11-01,Away,2014,111.3,2.0,98.0,119.3,105.0
48,201311010BRK,BRK,1495.312233185983,2013-11-01,Home,2014,107.5,2.0,100.0,108.6,101.0
49,201311010BRK,MIA,1503.7562634727897,2013-11-01,Away,2014,108.6,3.0,101.0,107.5,100.0
50,201311010HOU,HOU,1509.0820430112922,2013-11-01,Home,2014,101.9,2.0,105.0,109.6,113.0
51,201311010HOU,DAL,1507.2149373622435,2013-11-01,Away,2014,109.6,2.0,113.0,101.9,105.0
52,201311010MEM,MEM,1493.764266184491,2013-11-01,Home,2014,106.3,2.0,108.0,109.3,111.0
53,201311010MEM,DET,1508.1618760810868,2013-11-01,Away,2014,109.3,2.0,111.0,106.3,108.0
54,201311010MIN,MIN,1505.0407261784794,2013-11-01,Home,2014,85.8,2.0,81.0,105.9,100.0
55,201311010MIN,OKC,1507.0373405606374,2013-11-01,Away,2014,105.9,2.0,100.0,85.8,81.0
56,201311010DEN,DEN,1496.4185114119628,2013-11-01,Home,2014,119.0,2.0,113.0,103.2,98.0
57,201311010DEN,POR,1490.9179569887078,2013-11-01,Away,2014,103.2,2.0,98.0,119.0,113.0
58,201311010PHO,PHO,1509.0820430112922,2013-11-01,Home,2014,92.8,2.0,84.0,96.1,87.0
59,201311010PHO,UTA,1492.9626594393626,2013-11-01,Away,2014,96.1,2.0,87.0,92.8,84.0
60,201311010SAC,SAC,1503.5814885880372,2013-11-01,Home,2014,124.4,2.0,110.0,114.2,101.0
61,201311010SAC,LAC,1500.0661408937444,2013-11-01,Away,2014,114.2,3.0,101.0,124.4,110.0
62,201311010LAL,LAL,1491.808201686667,2013-11-01,Home,2014,95.2,3.0,91.0,88.9,85.0
63,201311010LAL,SAS,1506.235733815509,2013-11-01,Away,2014,88.9,2.0,85.0,95.2,91.0
64,201311020IND,IND,1516.3510711431593,2013-11-02,Home,2014,77.5,3.0,74.0,93.3,89.0
65,201311020IND,CLE,1498.6002763563656,2013-11-02,Away,2014,93.3,3.0,89.0,77.5,74.0
66,201311020PHI,PHI,1515.0552342969042,2013-11-02,Home,2014,106.2,3.0,104.0,109.2,107.0
67,201311020PHI,CHI,1494.571946430918,2013-11-02,Away,2014,109.2,3.0,107.0,106.2,104.0
68,201311020NOP,NOP,1478.9795276612604,2013-11-02,Home,2014,90.3,3.0,84.0,112.9,105.0
69,201311020NOP,CHA,1497.0054474463593,2013-11-02,Away,2014,112.9,3.0,105.0,90.3,84.0
70,201311020DAL,DAL,1500.5405744333993,2013-11-02,Home,2014,104.3,3.0,99.0,116.9,111.0
71,201311020DAL,MEM,1498.1773658803058,2013-11-02,Away,2014,116.9,3.0,111.0,104.3,99.0
72,201311020MIL,MIL,1504.369721775689,2013-11-02,Home,2014,102.1,3.0,97.0,94.7,90.0
73,201311020MIL,TOR,1499.1323858000985,2013-11-02,Away,2014,94.7,3.0,90.0,102.1,97.0
74,201311020UTA,UTA,1489.107449490126,2013-11-02,Home,2014,115.7,3.0,104.0,103.5,93.0
75,201311020UTA,HOU,1515.7564059401363,2013-11-02,Away,2014,103.5,3.0,93.0,115.7,104.0
76,201311020POR,POR,1508.1392857088094,2013-11-02,Home,2014,109.9,3.0,105.0,120.4,115.0
77,201311020POR,SAS,1515.559219981709,2013-11-02,Away,2014,120.4,3.0,115.0,109.9,105.0
78,201311020GSW,GSW,1508.1256574195886,2013-11-02,Home,2014,93.4,3.0,87.0,105.2,98.0
79,201311020GSW,SAC,1491.2023048831995,2013-11-02,Away,2014,105.2,3.0,98.0,93.4,87.0
80,201311030DET,DET,1503.7487763852719,2013-11-03,Home,2014,83.2,3.0,77.0,94.0,87.0
81,201311030DET,BOS,1483.6628691594804,2013-11-03,Away,2014,94.0,3.0,87.0,83.2,77.0
82,201311030MIA,MIA,1500.6470857696982,2013-11-03,Home,2014,106.0,4.0,93.0,117.4,103.0
83,201311030MIA,WAS,1481.6516553769818,2013-11-03,Away,2014,117.4,3.0,103.0,106.0,93.0
84,201311030ORL,ORL,1499.628675017101,2013-11-03,Home,2014,89.4,4.0,86.0,111.2,107.0
85,201311030ORL,BRK,1498.4214108890744,2013-11-03,Away,2014,111.2,3.0,107.0,89.4,86.0
86,201311030OKC,OKC,1495.2163225153379,2013-11-03,Home,2014,97.5,3.0,96.0,104.6,103.0
87,201311030OKC,PHO,1512.9372529605287,2013-11-03,Away,2014,104.6,3.0,103.0,97.5,96.0
88,201311030NYK,NYK,1503.0387581568286,2013-11-03,Home,2014,114.5,3.0,109.0,105.1,100.0
89,201311030NYK,MIN,1516.861744223779,2013-11-03,Away,2014,105.1,3.0,100.0,114.5,109.0
