DATE,TEAM_HOME,TEAM_AWAY,FG_HOME,FG_AWAY,FGA_HOME,FGA_AWAY,FG_PCT_HOME,FG_PCT_AWAY,FG(3)_HOME,FG(3)_AWAY,FGA(3)_HOME,FGA(3)_AWAY,FG_PCT(3)_HOME,FG_PCT(3)_AWAY,FT_HOME,FT_AWAY,FTA_HOME,FTA_AWAY,FT_PCT_HOME,FT_PCT_AWAY,ORB_HOME,ORB_AWAY,DRB_HOME,DRB_AWAY,TRB_HOME,TRB_AWAY,AST_HOME,AST_AWAY,STL_HOME,STL_AWAY,BLK_HOME,BLK_AWAY,TOV_HOME,TOV_AWAY,PF_HOME,PF_AWAY,PTS_HOME,PTS_AWAY,TS_PCT_HOME,TS_PCT_AWAY,EFG_PCT_HOME,EFG_PCT_AWAY,3PA_R_HOME,3PA_R_AWAY,FT_R_HOME,FT_R_AWAY,ORB_PCT_HOME,ORB_PCT_AWAY,DRB_PCT_HOME,DRB_PCT_AWAY,TRB_PCT_HOME,TRB_PCT_AWAY,AST_PCT_HOME,AST_PCT_AWAY,STL_PCT_HOME,STL_PCT_AWAY,BLK_PCT_HOME,BLK_PCT_AWAY,TOV_PCT_HOME,TOV_PCT_AWAY,O_RTG_HOME,O_RTG_AWAY,D_RTG_HOME,D_RTG_AWAY,WINS_RECORD_HOME,WINS_RECORD_AWAY,LOSSES_RECORD_HOME,LOSSES_RECORD_AWAY,WIN_PCT_HOME,WIN_PCT_AWAY,GAME_NO_HOME,GAME_NO_AWAY,WIN_HOME,WIN_AWAY,LOSS_HOME,LOSS_AWAY,TEAM_STATS_OR_NOT_HOME,TEAM_STATS_OR_NOT_AWAY,FG(3)_MISSED_HOME,FG(3)_MISSED_AWAY,FG_MISSED_HOME,FG_MISSED_AWAY,BLOCKED_ATTEMPTS_HOME,BLOCKED_ATTEMPTS_AWAY,TOV_FORCED_HOME,TOV_FORCED_AWAY,FG(2)_HOME,FG(2)_AWAY,FGA(2)_HOME,FGA(2)_AWAY,FG(2)_MISSED_HOME,FG(2)_MISSED_AWAY,GAMEID,SEASON,OTs
2013-10-29,IND,ORL,34,36,71,93,0.479,0.387,7,9,17,19,0.412,0.474,22,6,32,10,0.688,0.6,10,13,34,26,44,39,17,17,4,10,18,6,20,17,13,26,97,87,0.57,0.447,0.528,0.435,0.239,0.204,0.451,0.108,27.8,27.7,72.3,72.2,53.0,47.0,50.0,47.2,4.2,10.5,24.3,11.1,19.0,14.9,102.1,91.6,91.6,102.1,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,0,0,1,1,1,10,10,37,57,6,18,17,20,27,27,54,74,27,47,201310290IND,2014,0
2013-10-29,MIA,CHI,37,35,72,83,0.514,0.422,11,7,20,26,0.55,0.269,22,18,29,23,0.759,0.783,5,11,35,30,40,41,26,23,10,11,7,4,18,18,21,27,107,95,0.631,0.51,0.59,0.464,0.278,0.313,0.403,0.277,14.3,23.9,76.1,85.7,49.4,50.6,70.3,65.7,10.3,11.3,12.3,7.7,17.5,16.2,110.2,97.9,97.9,110.2,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,1,1,0,1,1,9,19,35,48,4,7,18,18,26,28,52,57,26,29,201310290MIA,2014,0
2013-10-29,LAL,LAC,42,41,93,83,0.452,0.494,14,8,29,21,0.483,0.381,18,13,28,23,0.643,0.565,18,10,34,30,52,40,23,27,8,11,6,4,19,16,23,21,116,103,0.551,0.553,0.527,0.542,0.312,0.253,0.301,0.277,37.5,22.7,77.3,62.5,56.5,43.5,54.8,65.9,8.0,11.0,9.7,6.3,15.3,14.7,115.6,102.6,102.6,115.6,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,0,0,1,1,1,15,13,51,42,4,6,16,19,28,33,64,62,36,29,201310290LAL,2014,0
2013-10-30,CLE,BRK,35,33,84,82,0.417,0.402,5,9,15,24,0.333,0.375,23,19,34,24,0.676,0.792,16,9,32,28,48,37,21,24,7,8,3,8,11,15,20,27,98,94,0.495,0.508,0.446,0.457,0.179,0.293,0.405,0.293,36.4,22.0,78.0,63.6,56.5,43.5,60.0,72.7,7.6,8.7,5.2,11.6,10.0,13.9,106.2,101.8,101.8,106.2,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,0,0,1,1,1,10,15,49,49,8,3,15,11,30,24,69,58,39,34,201310300CLE,2014,0
2013-10-30,TOR,BOS,38,32,86,66,0.442,0.485,5,3,17,13,0.294,0.231,12,20,23,29,0.522,0.69,19,7,29,26,48,33,15,15,9,10,6,7,17,22,25,27,93,87,0.484,0.552,0.471,0.508,0.198,0.197,0.267,0.439,42.2,19.4,80.6,57.8,59.3,40.7,39.5,46.9,9.8,10.9,11.3,10.1,15.0,21.8,101.6,95.1,95.1,101.6,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,0,0,1,1,1,12,10,48,34,7,6,22,17,33,29,69,53,36,24,201310300TOR,2014,0
2013-10-30,PHI,MIA,43,42,80,85,0.538,0.494,8,16,21,40,0.381,0.4,20,10,24,13,0.833,0.769,8,7,32,24,40,31,24,30,16,7,1,0,18,19,21,25,114,110,0.629,0.606,0.588,0.588,0.263,0.471,0.3,0.153,25.0,17.9,82.1,75.0,56.3,43.7,55.8,71.4,16.1,7.0,2.2,0.0,16.6,17.3,114.8,110.8,110.8,114.8,1.0,1.0,0.0,1.0,1.0,0.5,1.0,2.0,1,0,0,1,1,1,13,24,37,43,0,1,19,18,35,26,59,45,24,19,201310300PHI,2014,0
2013-10-30,DET,WAS,39,34,78,78,0.5,0.436,9,10,24,25,0.375,0.4,26,24,33,32,0.788,0.75,12,13,32,25,44,38,24,23,6,5,4,3,18,16,27,30,113,102,0.611,0.554,0.558,0.5,0.308,0.321,0.423,0.41,32.4,28.9,71.1,67.6,53.7,46.3,61.5,67.6,6.4,5.3,7.5,5.6,16.3,14.8,119.7,108.0,108.0,119.7,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,0,0,1,1,1,15,15,39,44,3,4,16,18,30,24,54,53,24,29,201310300DET,2014,0
2013-10-30,NYK,MIL,36,34,71,74,0.507,0.459,3,5,13,16,0.231,0.313,15,10,17,12,0.882,0.833,6,5,28,26,34,31,17,19,12,10,6,4,22,23,16,22,90,83,0.573,0.523,0.528,0.493,0.183,0.216,0.239,0.162,18.8,15.2,84.8,81.3,52.3,47.7,47.2,55.9,12.8,10.6,10.3,6.9,21.9,22.5,95.7,88.3,88.3,95.7,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,0,0,1,1,1,10,11,35,40,4,6,23,22,33,29,58,58,25,29,201310300NYK,2014,0
2013-10-30,NOP,IND,34,30,85,70,0.4,0.429,5,10,11,23,0.455,0.435,17,25,21,30,0.81,0.833,15,6,28,31,43,37,17,19,7,5,5,12,15,16,29,18,90,95,0.478,0.571,0.429,0.5,0.129,0.329,0.247,0.429,32.6,17.6,82.4,67.4,53.8,46.3,50.0,63.3,7.7,5.5,10.6,16.2,13.7,16.1,99.4,104.9,104.9,99.4,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0,1,1,0,1,1,6,13,51,40,12,5,16,15,29,20,74,47,45,27,201310300NOP,2014,0
2013-10-30,MIN,ORL,42,47,100,100,0.42,0.47,8,10,25,27,0.32,0.37,28,11,34,18,0.824,0.611,14,14,35,40,49,54,27,21,7,7,3,6,14,18,19,29,120,115,0.522,0.533,0.46,0.52,0.25,0.27,0.34,0.18,25.9,28.6,71.4,74.1,47.6,52.4,64.3,44.7,6.3,6.3,4.1,8.0,10.9,14.3,108.8,104.3,104.3,108.8,1.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,1,0,0,1,1,1,17,17,58,53,6,3,18,14,34,37,75,73,41,36,201310300MIN,2014,1
