,TEAM_HOME,TEAM_AWAY,FG_HOME,FG_AWAY,FGA_HOME,FGA_AWAY,FG_PCT_HOME,FG_PCT_AWAY,FG(3)_HOME,FG(3)_AWAY,FGA(3)_HOME,FGA(3)_AWAY,FG_PCT(3)_HOME,FG_PCT(3)_AWAY,FT_HOME,FT_AWAY,FTA_HOME,FTA_AWAY,FT_PCT_HOME,FT_PCT_AWAY,ORB_HOME,ORB_AWAY,DRB_HOME,DRB_AWAY,TRB_HOME,TRB_AWAY,AST_HOME,AST_AWAY,STL_HOME,STL_AWAY,BLK_HOME,BLK_AWAY,TOV_HOME,TOV_AWAY,PF_HOME,PF_AWAY,PTS_HOME,PTS_AWAY,TS_PCT_HOME,TS_PCT_AWAY,EFG_PCT_HOME,EFG_PCT_AWAY,3PA_R_HOME,3PA_R_AWAY,FT_R_HOME,FT_R_AWAY,ORB_PCT_HOME,ORB_PCT_AWAY,DRB_PCT_HOME,DRB_PCT_AWAY,TRB_PCT_HOME,TRB_PCT_AWAY,AST_PCT_HOME,AST_PCT_AWAY,STL_PCT_HOME,STL_PCT_AWAY,BLK_PCT_HOME,BLK_PCT_AWAY,TOV_PCT_HOME,TOV_PCT_AWAY,O_RTG_HOME,O_RTG_AWAY,D_RTG_HOME,D_RTG_AWAY,WINS_RECORD_HOME,WINS_RECORD_AWAY,LOSSES_RECORD_HOME,LOSSES_RECORD_AWAY,WIN_PCT_HOME,WIN_PCT_AWAY,GAME_NO_HOME,GAME_NO_AWAY,WIN_HOME,WIN_AWAY,LOSS_HOME,LOSS_AWAY,FG(3)_MISSED_HOME,FG(3)_MISSED_AWAY,FG_MISSED_HOME,FG_MISSED_AWAY,BLOCKED_ATTEMPTS_HOME,BLOCKED_ATTEMPTS_AWAY,TOV_FORCED_HOME,TOV_FORCED_AWAY,FG(2)_HOME,FG(2)_AWAY,FGA(2)_HOME,FGA(2)_AWAY,FG(2)_MISSED_HOME,FG(2)_MISSED_AWAY,GAMEID,DATE,SEASON,OTs
0,CHI,CLE,37,38,87,94,0.425,0.404,7,9,19,29,0.368,0.31,16,10,23,17,0.696,0.588,7,11,40,39,47,50,13,26,6,5,10,7,13,10,22,21,97,95,0.499,0.468,0.466,0.452,0.218,0.309,0.264,0.181,15.2,21.6,78.4,84.8,48.5,51.5,35.1,68.4,6.0,5.0,15.4,10.3,11.8,9.0,97.5,95.5,95.5,97.5,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,0,0,1,12,20,50,56,7,10,10,13,30,29,68,65,38,36,201510270CHI,2015-10-27,2016,0
1,ATL,DET,37,37,82,96,0.451,0.385,8,12,27,29,0.296,0.414,12,20,15,26,0.8,0.769,7,23,33,36,40,59,22,23,9,5,4,3,15,15,25,15,94,106,0.53,0.493,0.5,0.448,0.329,0.302,0.183,0.271,16.3,41.1,58.9,83.7,40.4,59.6,59.5,62.2,9.4,5.2,6.0,5.5,14.5,12.3,98.6,111.2,111.2,98.6,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1,0,0,1,19,17,45,59,3,4,15,15,29,25,55,67,26,42,201510270ATL,2015-10-27,2016,0
2,GSW,NOP,41,35,96,83,0.427,0.422,9,6,30,18,0.3,0.333,20,19,22,27,0.909,0.704,21,8,35,25,56,33,29,21,8,9,7,3,20,18,29,26,111,95,0.525,0.501,0.474,0.458,0.313,0.217,0.229,0.325,45.7,18.6,81.4,54.3,62.9,37.1,70.7,60.0,8.0,9.0,10.8,4.5,15.9,15.9,110.9,94.9,94.9,110.9,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,1,1,0,21,12,55,48,3,7,18,20,32,29,66,65,34,36,201510270GSW,2015-10-27,2016,0
3,ORL,WAS,37,33,100,84,0.37,0.393,5,7,26,28,0.192,0.25,8,15,12,25,0.667,0.6,17,15,39,34,56,49,20,17,9,8,6,9,14,17,22,14,87,88,0.413,0.463,0.395,0.435,0.26,0.333,0.12,0.298,33.3,27.8,72.2,66.7,53.3,46.7,54.1,51.5,9.4,8.3,10.7,12.2,11.7,15.2,90.5,91.6,91.6,90.5,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,1,1,0,21,21,63,51,9,6,17,14,32,26,74,56,42,30,201510280ORL,2015-10-28,2016,0
4,BOS,PHI,39,34,85,83,0.459,0.41,8,7,24,22,0.333,0.318,26,20,27,23,0.963,0.87,10,14,31,32,41,46,31,12,10,11,7,6,17,22,23,22,112,95,0.578,0.51,0.506,0.452,0.282,0.265,0.318,0.277,23.8,31.1,68.9,76.2,47.1,52.9,79.5,35.3,10.1,11.1,11.5,9.8,14.9,19.1,112.6,95.5,95.5,112.6,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,1,1,0,16,15,46,49,6,7,22,17,31,27,61,61,30,34,201510280BOS,2015-10-28,2016,0
5,BRK,CHI,39,42,93,78,0.419,0.538,0,14,9,28,0.0,0.5,22,17,28,20,0.786,0.85,16,5,29,34,45,39,19,20,11,9,5,3,13,19,18,24,100,115,0.475,0.662,0.419,0.628,0.097,0.359,0.301,0.256,32.0,14.7,85.3,68.0,53.6,46.4,48.7,47.6,11.1,9.1,10.0,3.6,11.0,18.0,101.0,116.1,116.1,101.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0,1,1,0,9,14,54,36,3,5,19,13,39,28,84,50,45,22,201510280BRK,2015-10-28,2016,0
6,DET,UTA,30,35,74,75,0.405,0.467,7,2,19,12,0.368,0.167,25,15,34,21,0.735,0.714,8,4,35,34,43,38,16,15,2,4,4,5,10,12,20,25,92,87,0.517,0.516,0.453,0.48,0.257,0.16,0.459,0.28,19.0,10.3,89.7,81.0,53.1,46.9,53.3,42.9,2.2,4.5,6.3,9.1,10.1,12.5,102.4,96.9,96.9,102.4,2.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1,0,0,1,12,10,44,40,5,4,12,10,23,33,55,63,32,30,201510280DET,2015-10-28,2016,0
7,TOR,IND,36,32,80,86,0.45,0.372,7,9,18,23,0.389,0.391,27,26,39,31,0.692,0.839,9,8,41,32,50,40,19,23,8,14,2,3,20,13,24,30,106,99,0.545,0.497,0.494,0.424,0.225,0.267,0.488,0.36,22.0,16.3,83.7,78.0,55.6,44.4,52.8,71.9,7.7,13.5,3.2,4.8,17.1,11.5,102.3,95.5,95.5,102.3,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,1,1,0,11,14,44,54,3,2,13,20,29,23,62,63,33,40,201510280TOR,2015-10-28,2016,0
8,MIA,CHA,36,33,73,84,0.493,0.393,12,6,20,24,0.6,0.25,20,22,21,29,0.952,0.759,2,11,39,32,41,43,23,16,5,4,7,1,13,8,25,16,104,94,0.632,0.486,0.575,0.429,0.274,0.286,0.288,0.345,5.9,22.0,78.0,94.1,48.8,51.2,63.9,48.5,5.4,4.4,11.7,1.9,13.6,7.6,113.2,102.4,102.4,113.2,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,1,1,0,8,18,37,51,1,7,8,13,24,27,53,60,29,33,201510280MIA,2015-10-28,2016,0
9,MIL,NYK,30,42,86,93,0.349,0.452,9,9,18,23,0.5,0.391,28,29,31,35,0.903,0.829,18,19,29,30,47,49,17,24,7,11,4,7,18,11,27,28,97,122,0.487,0.563,0.401,0.5,0.209,0.247,0.36,0.376,37.5,39.6,60.4,62.5,49.0,51.0,56.7,57.1,7.4,11.6,5.7,10.3,15.3,9.2,101.9,128.2,128.2,101.9,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1,0,0,1,9,14,56,51,7,4,11,18,21,33,68,70,47,37,201510280MIL,2015-10-28,2016,0
10,OKC,SAS,42,45,86,93,0.488,0.484,7,5,19,15,0.368,0.333,21,11,22,13,0.955,0.846,11,7,34,29,45,36,21,22,7,11,4,9,19,13,19,18,112,106,0.585,0.537,0.529,0.511,0.221,0.161,0.256,0.14,27.5,17.1,82.9,72.5,55.6,44.4,50.0,48.9,6.9,10.8,5.1,13.4,16.6,11.6,110.2,104.3,104.3,110.2,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,0,0,1,12,10,44,48,9,4,13,19,35,40,67,78,32,38,201510280OKC,2015-10-28,2016,0
11,MEM,CLE,29,41,82,84,0.354,0.488,2,13,16,29,0.125,0.448,16,11,22,17,0.727,0.647,11,12,29,42,40,54,15,29,8,7,3,2,16,19,18,25,76,106,0.414,0.579,0.366,0.565,0.195,0.345,0.268,0.202,20.8,29.3,70.7,79.2,42.6,57.4,51.7,70.7,8.4,7.3,5.5,3.0,14.9,17.2,79.4,110.8,110.8,79.4,0.0,1.0,1.0,1.0,0.0,0.5,1.0,2.0,1,0,0,1,14,16,53,43,2,3,19,16,27,28,66,55,39,27,201510280MEM,2015-10-28,2016,0
12,HOU,DEN,30,40,87,79,0.345,0.506,8,13,35,27,0.229,0.481,17,12,26,18,0.654,0.667,15,9,29,40,44,49,17,26,13,9,8,10,16,21,19,26,85,105,0.432,0.604,0.391,0.589,0.402,0.342,0.299,0.228,27.3,23.7,76.3,72.7,47.3,52.7,56.7,65.0,13.4,9.3,15.4,19.2,14.0,19.5,87.6,108.2,108.2,87.6,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1,0,0,1,27,14,57,39,10,8,21,16,22,27,52,52,30,25,201510280HOU,2015-10-28,2016,0
13,PHO,DAL,34,40,87,85,0.391,0.471,6,10,24,21,0.25,0.476,21,21,33,31,0.636,0.677,13,6,40,42,53,48,15,24,3,7,3,3,18,8,30,25,95,111,0.468,0.563,0.425,0.529,0.276,0.247,0.379,0.365,23.6,13.0,87.0,76.4,52.5,47.5,44.1,60.0,2.9,6.9,4.7,4.8,15.1,7.5,93.2,108.9,108.9,93.2,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1,0,0,1,18,11,53,45,3,3,8,18,28,30,63,64,35,34,201510280PHO,2015-10-28,2016,0
